#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi2maxZid ESi1minAid ESi1maxZid
0 1 1 2 6.0 48.0 -1  -1 
0 1 1 3 10.0 73.0 -1  -1 
0 1 1 4 15.0 88.0 20.0 84.0
0 1 1 5 20.0 120.0 56.0 120.0
0 1 1 6 26.0 156.0 79.0 154.0
0 1 1 7 35.0 194.0 130.0 194.0
0 1 1 8 47.0 235.0 154.0 235.0
0 1 1 9 56.0 278.0 -1  -1 
0 1 1 10 73.0 324.0 -1  -1 
0 1 1 11 84.0 375.0 -1  -1 
0 1 1 12 100.0 424.0 -1  -1 
0 1 1 13 125.0 467.0 -1  -1 
0 1 1 14 139.0 513.0 -1  -1 
0 1 1 15 167.0 565.0 -1  -1 
0 1 1 16 180.0 578.0 -1  -1 
0 1 1 17 196.0 693.0 -1  -1 
0 1 1 18 226.0 689.0 -1  -1 
0 1 1 19 304.0 634.0 -1  -1 
0 1 1 20 363.0 383.0 -1  -1 
0 1 2 2 7.0 48.0 -1  -1 
0 1 2 3 12.0 71.0 -1  -1 
0 1 2 4 18.0 84.0 19.0 83.0
0 1 2 5 27.0 118.0 55.0 118.0
0 1 2 6 35.0 152.0 73.0 151.0
0 1 2 7 43.0 191.0 100.0 190.0
0 1 2 8 58.0 231.0 122.0 231.0
0 1 2 9 68.0 274.0 156.0 274.0
0 1 2 10 81.0 324.0 201.0 324.0
0 1 2 11 94.0 366.0 254.0 366.0
0 1 2 12 114.0 415.0 299.0 415.0
0 1 2 13 129.0 468.0 358.0 468.0
0 1 2 14 155.0 516.0 -1  -1 
0 1 2 15 179.0 567.0 -1  -1 
0 1 2 16 202.0 618.0 -1  -1 
0 1 2 17 221.0 634.0 -1  -1 
0 1 2 18 238.0 708.0 -1  -1 
0 1 2 19 292.0 796.0 -1  -1 
0 1 2 20 443.0 849.0 -1  -1 
0 1 2 21 334.0 444.0 -1  -1 
0 1 2 22 371.0 593.0 -1  -1 
0 1 2 23 441.0 443.0 -1  -1 
0 1 3 2 6.0 46.0 -1  -1 
0 1 3 3 11.0 65.0 -1  -1 
0 1 3 4 15.0 85.0 15.0 85.0
0 1 3 5 22.0 117.0 57.0 117.0
0 1 3 6 30.0 158.0 78.0 158.0
0 1 3 7 39.0 198.0 101.0 193.0
0 1 3 8 52.0 234.0 123.0 234.0
0 1 3 9 67.0 282.0 177.0 282.0
0 1 3 10 82.0 324.0 217.0 324.0
0 1 3 11 96.0 373.0 255.0 373.0
0 1 3 12 124.0 421.0 301.0 421.0
0 1 3 13 136.0 468.0 339.0 468.0
0 1 3 14 152.0 519.0 385.0 519.0
0 1 3 15 184.0 577.0 -1  -1 
0 1 3 16 206.0 621.0 -1  -1 
0 1 3 17 235.0 620.0 -1  -1 
0 1 3 18 288.0 745.0 -1  -1 
0 1 3 19 324.0 806.0 -1  -1 
0 1 3 20 352.0 839.0 -1  -1 
0 1 3 21 379.0 633.0 -1  -1 
0 1 3 22 483.0 485.0 -1  -1 
0 1 4 2 6.0 48.0 -1  -1 
0 1 4 3 11.0 55.0 -1  -1 
0 1 4 4 16.0 90.0 17.0 89.0
0 1 4 5 21.0 117.0 21.0 117.0
0 1 4 6 29.0 156.0 67.0 156.0
0 1 4 7 37.0 195.0 88.0 195.0
0 1 4 8 48.0 236.0 109.0 236.0
0 1 4 9 57.0 284.0 142.0 284.0
0 1 4 10 65.0 328.0 178.0 328.0
0 1 4 11 89.0 375.0 223.0 375.0
0 1 4 12 107.0 423.0 267.0 423.0
0 1 4 13 122.0 466.0 326.0 466.0
0 1 4 14 151.0 526.0 401.0 526.0
0 1 4 15 178.0 536.0 478.0 536.0
0 1 4 16 208.0 629.0 -1  -1 
0 1 4 17 277.0 689.0 -1  -1 
0 1 4 18 329.0 668.0 -1  -1 
