#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi1maxZid ESi1minAid ESi1maxAid
0 1 1 2 6.0 41.0 -1  -1 
0 1 1 3 11.0 72.0 -1  -1 
0 1 1 4 16.0 85.0 20.0 85.0
0 1 1 5 20.0 121.0 56.0 121.0
0 1 1 6 27.0 158.0 79.0 158.0
0 1 1 7 36.0 202.0 130.0 197.0
0 1 1 8 47.0 242.0 154.0 239.0
0 1 1 9 58.0 288.0 -1  -1 
0 1 1 10 70.0 329.0 -1  -1 
0 1 1 11 83.0 378.0 -1  -1 
0 1 1 12 100.0 428.0 -1  -1 
0 1 1 13 123.0 476.0 -1  -1 
0 1 1 14 137.0 537.0 -1  -1 
0 1 1 15 154.0 589.0 -1  -1 
0 1 1 16 178.0 648.0 -1  -1 
0 1 1 17 192.0 700.0 -1  -1 
0 1 1 18 218.0 772.0 -1  -1 
0 1 1 19 251.0 822.0 -1  -1 
0 1 1 20 268.0 864.0 -1  -1 
0 1 2 2 6.0 43.0 -1  -1 
0 1 2 3 12.0 68.0 -1  -1 
0 1 2 4 18.0 89.0 20.0 84.0
0 1 2 5 26.0 127.0 55.0 117.0
0 1 2 6 35.0 155.0 75.0 152.0
0 1 2 7 45.0 196.0 100.0 194.0
0 1 2 8 58.0 234.0 122.0 234.0
0 1 2 9 69.0 280.0 162.0 280.0
0 1 2 10 80.0 329.0 201.0 329.0
0 1 2 11 94.0 371.0 251.0 371.0
0 1 2 12 112.0 419.0 296.0 419.0
0 1 2 13 126.0 471.0 359.0 471.0
0 1 2 14 150.0 523.0 -1  -1 
0 1 2 15 173.0 581.0 -1  -1 
0 1 2 16 196.0 640.0 -1  -1 
0 1 2 17 213.0 686.0 -1  -1 
0 1 2 18 252.0 745.0 -1  -1 
0 1 2 19 266.0 808.0 -1  -1 
0 1 2 20 297.0 873.0 -1  -1 
0 1 2 21 335.0 944.0 -1  -1 
0 1 2 22 363.0 951.0 -1  -1 
0 1 2 23 443.0 765.0 -1  -1 
0 1 2 24 425.0 1018.0 -1  -1 
0 1 3 2 6.0 45.0 -1  -1 
0 1 3 3 12.0 63.0 -1  -1 
0 1 3 4 16.0 89.0 16.0 89.0
0 1 3 5 23.0 121.0 60.0 117.0
0 1 3 6 31.0 157.0 79.0 157.0
0 1 3 7 39.0 204.0 98.0 196.0
0 1 3 8 52.0 247.0 125.0 239.0
0 1 3 9 65.0 283.0 175.0 283.0
0 1 3 10 82.0 328.0 218.0 328.0
0 1 3 11 96.0 377.0 258.0 377.0
0 1 3 12 121.0 433.0 301.0 425.0
0 1 3 13 135.0 474.0 341.0 474.0
0 1 3 14 154.0 531.0 379.0 531.0
0 1 3 15 184.0 591.0 -1  -1 
0 1 3 16 208.0 641.0 -1  -1 
0 1 3 17 239.0 717.0 -1  -1 
0 1 3 18 267.0 763.0 -1  -1 
0 1 3 19 324.0 826.0 -1  -1 
0 1 3 20 338.0 886.0 -1  -1 
0 1 3 21 371.0 931.0 -1  -1 
0 1 3 22 486.0 1003.0 -1  -1 
0 1 3 23 455.0 1059.0 -1  -1 
0 1 3 24 521.0 1111.0 -1  -1 
0 1 4 2 6.0 36.0 -1  -1 
0 1 4 3 11.0 55.0 -1  -1 
0 1 4 4 17.0 90.0 17.0 90.0
0 1 4 5 21.0 120.0 22.0 120.0
0 1 4 6 30.0 164.0 65.0 159.0
0 1 4 7 38.0 203.0 87.0 198.0
0 1 4 8 49.0 240.0 112.0 240.0
0 1 4 9 56.0 285.0 137.0 284.0
0 1 4 10 67.0 330.0 179.0 330.0
0 1 4 11 85.0 377.0 220.0 377.0
0 1 4 12 101.0 429.0 270.0 429.0
0 1 4 13 123.0 482.0 323.0 482.0
0 1 4 14 142.0 525.0 392.0 525.0
0 1 4 15 176.0 590.0 449.0 578.0
0 1 4 16 199.0 645.0 -1  -1 
0 1 4 17 259.0 707.0 -1  -1 
0 1 4 18 314.0 768.0 -1  -1 
0 1 4 19 354.0 819.0 -1  -1 
0 1 4 20 402.0 739.0 -1  -1 
0 1 4 21 441.0 862.0 -1  -1 
0 1 4 22 495.0 851.0 -1  -1 
0 2 2 1 2.0 22.0 -1  -1 
0 2 2 2 6.0 39.0 -1  -1 
0 2 2 3 14.0 69.0 -1  -1 
0 2 2 4 22.0 85.0 -1  -1 
0 2 2 5 32.0 126.0 -1  -1 
0 2 2 6 40.0 150.0 -1  -1 
0 2 2 7 53.0 192.0 -1  -1 
0 2 2 8 66.0 236.0 -1  -1 
0 2 2 9 80.0 285.0 -1  -1 
0 2 2 10 100.0 329.0 -1  -1 
0 2 2 11 101.0 377.0 -1  -1 
0 2 2 12 129.0 415.0 -1  -1 
0 2 2 13 148.0 471.0 -1  -1 
0 2 2 14 171.0 527.0 -1  -1 
0 2 2 15 196.0 567.0 -1  -1 
0 2 2 16 223.0 629.0 -1  -1 
0 2 2 17 258.0 690.0 -1  -1 
0 2 2 18 286.0 760.0 -1  -1 
0 2 2 19 314.0 812.0 -1  -1 
0 2 2 20 362.0 876.0 -1  -1 
0 2 2 21 398.0 948.0 -1  -1 
0 2 2 22 458.0 1002.0 -1  -1 
0 2 2 23 514.0 1060.0 -1  -1 
0 2 2 24 568.0 1129.0 -1  -1 
0 2 2 25 662.0 1189.0 -1  -1 
0 2 2 26 672.0 1214.0 -1  -1 
0 2 2 27 840.0 1294.0 -1  -1 
0 2 2 28 1073.0 1269.0 -1  -1 
0 2 3 2 7.0 49.0 -1  -1 
0 2 3 3 11.0 65.0 -1  -1 
0 2 3 4 18.0 91.0 19.0 84.0
0 2 3 5 27.0 137.0 56.0 120.0
0 2 3 6 34.0 156.0 77.0 156.0
0 2 3 7 42.0 206.0 110.0 200.0
0 2 3 8 52.0 241.0 146.0 241.0
0 2 3 9 66.0 280.0 176.0 280.0
0 2 3 10 76.0 332.0 213.0 332.0
0 2 3 11 86.0 385.0 257.0 374.0
0 2 3 12 100.0 427.0 302.0 427.0
0 2 3 13 119.0 477.0 361.0 475.0
0 2 3 14 133.0 533.0 409.0 526.0
0 2 3 15 137.0 587.0 -1  -1 
0 2 3 16 166.0 651.0 -1  -1 
0 2 3 17 186.0 707.0 -1  -1 
0 2 3 18 222.0 773.0 -1  -1 
0 2 3 19 253.0 840.0 -1  -1 
0 2 3 20 276.0 902.0 -1  -1 
0 2 3 21 308.0 976.0 -1  -1 
0 2 3 22 337.0 1023.0 -1  -1 
0 2 3 23 359.0 1091.0 -1  -1 
0 2 3 24 440.0 1156.0 -1  -1 
0 2 3 25 456.0 1220.0 -1  -1 
0 2 3 26 570.0 1260.0 -1  -1 
0 2 3 27 670.0 1346.0 -1  -1 
0 2 3 28 968.0 1414.0 -1  -1 
0 2 3 29 1003.0 1389.0 -1  -1 
0 2 3 31 1552.0 1575.0 -1  -1 
0 3 4 2 6.0 40.0 -1  -1 
0 3 4 3 12.0 68.0 -1  -1 
0 3 4 4 18.0 87.0 20.0 85.0
0 3 4 5 25.0 123.0 59.0 116.0
