#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi1maxZid ESi1minAid ESi1maxAid
0 1 1 1 6.0 25.0 -1  -1 
0 1 1 2 9.0 43.0 -1  -1 
0 1 1 3 13.0 72.0 -1  -1 
0 1 1 4 20.0 82.0 -1  -1 
0 1 1 5 28.0 117.0 -1  -1 
0 1 1 6 38.0 150.0 85.0 148.0
0 1 1 7 50.0 191.0 107.0 190.0
0 1 1 8 57.0 233.0 138.0 231.0
0 1 1 9 68.0 273.0 164.0 272.0
0 1 1 10 88.0 323.0 212.0 322.0
0 1 1 11 103.0 371.0 249.0 371.0
0 1 1 12 135.0 433.0 284.0 415.0
0 1 1 13 159.0 468.0 333.0 468.0
0 1 1 14 185.0 559.0 375.0 526.0
0 1 1 15 215.0 586.0 418.0 571.0
0 1 1 16 255.0 637.0 471.0 633.0
0 1 1 17 275.0 706.0 515.0 688.0
0 1 1 18 338.0 775.0 573.0 757.0
0 1 1 19 406.0 817.0 625.0 811.0
0 1 1 20 456.0 879.0 715.0 870.0
0 1 1 21 493.0 937.0 -1  -1 
0 1 1 22 543.0 991.0 -1  -1 
0 1 1 23 629.0 1001.0 -1  -1 
0 1 2 1 2.0 24.0 -1  -1 
0 1 2 2 4.0 38.0 -1  -1 
0 1 2 3 8.0 69.0 23.0 57.0
0 1 2 4 12.0 82.0 35.0 82.0
0 1 2 5 17.0 117.0 53.0 117.0
0 1 2 6 24.0 153.0 74.0 149.0
0 1 2 7 31.0 191.0 106.0 191.0
0 1 2 8 48.0 236.0 136.0 236.0
0 1 2 9 75.0 282.0 167.0 282.0
0 1 2 10 100.0 326.0 218.0 325.0
0 1 2 11 128.0 396.0 246.0 372.0
0 1 2 12 139.0 428.0 297.0 419.0
0 1 2 13 176.0 508.0 327.0 482.0
0 1 2 14 207.0 559.0 393.0 527.0
0 1 2 15 248.0 613.0 452.0 577.0
0 1 2 16 285.0 645.0 504.0 642.0
0 1 2 17 336.0 708.0 557.0 693.0
0 1 2 18 374.0 777.0 615.0 759.0
0 1 2 19 441.0 829.0 -1  -1 
0 1 2 20 510.0 892.0 -1  -1 
0 1 2 21 542.0 951.0 -1  -1 
0 1 2 22 598.0 1004.0 -1  -1 
0 1 2 23 622.0 1052.0 -1  -1 
0 1 3 1 2.0 23.0 -1  -1 
0 1 3 2 5.0 43.0 -1  -1 
0 1 3 3 9.0 60.0 25.0 60.0
0 1 3 4 16.0 83.0 36.0 83.0
0 1 3 5 22.0 115.0 54.0 115.0
0 1 3 6 29.0 151.0 76.0 151.0
0 1 3 7 39.0 190.0 100.0 190.0
0 1 3 8 65.0 235.0 130.0 235.0
0 1 3 9 73.0 318.0 164.0 278.0
0 1 3 10 96.0 322.0 196.0 322.0
0 1 3 11 111.0 370.0 226.0 367.0
0 1 3 12 149.0 419.0 270.0 419.0
0 1 3 13 175.0 511.0 327.0 493.0
0 1 3 14 220.0 587.0 367.0 523.0
0 1 3 15 251.0 611.0 418.0 595.0
0 1 3 16 311.0 664.0 468.0 638.0
0 1 3 17 335.0 731.0 518.0 708.0
0 1 3 18 376.0 787.0 575.0 764.0
0 1 3 19 415.0 827.0 630.0 819.0
0 1 3 20 455.0 888.0 693.0 880.0
0 1 3 21 486.0 947.0 -1  -1 
0 1 3 22 543.0 1009.0 -1  -1 
0 1 3 23 598.0 1058.0 -1  -1 
0 1 3 24 626.0 1030.0 -1  -1 
0 1 4 1 2.0 24.0 -1  -1 
0 1 4 2 4.0 47.0 -1  -1 
0 1 4 3 8.0 60.0 24.0 55.0
0 1 4 4 13.0 85.0 36.0 85.0
0 1 4 5 19.0 116.0 53.0 116.0
0 1 4 6 32.0 154.0 70.0 151.0
0 1 4 7 50.0 190.0 101.0 190.0
0 1 4 8 61.0 232.0 134.0 232.0
0 1 4 9 77.0 299.0 170.0 275.0
0 1 4 10 97.0 344.0 210.0 322.0
0 1 4 11 102.0 373.0 241.0 369.0
0 1 4 12 127.0 417.0 290.0 417.0
0 1 4 13 157.0 493.0 333.0 475.0
0 1 4 14 185.0 536.0 375.0 529.0
0 1 4 15 222.0 601.0 431.0 576.0
0 1 4 16 284.0 647.0 481.0 637.0
0 1 4 17 340.0 705.0 540.0 705.0
0 1 4 18 394.0 767.0 600.0 762.0
0 1 4 19 455.0 829.0 642.0 815.0
0 1 4 20 531.0 886.0 -1  -1 
0 1 4 21 586.0 940.0 -1  -1 
0 1 4 22 646.0 1002.0 -1  -1 
0 1 4 23 698.0 1059.0 -1  -1 
0 1 4 24 827.0 1009.0 -1  -1 
0 2 1 1 2.0 26.0 -1  -1 
0 2 1 2 5.0 44.0 -1  -1 
0 2 1 3 9.0 57.0 22.0 57.0
0 2 1 4 14.0 86.0 35.0 83.0
0 2 1 5 21.0 117.0 51.0 117.0
0 2 1 6 29.0 153.0 68.0 153.0
0 2 1 7 35.0 194.0 100.0 191.0
0 2 1 8 48.0 232.0 117.0 232.0
0 2 1 9 68.0 280.0 162.0 280.0
0 2 1 10 88.0 335.0 196.0 319.0
0 2 1 11 103.0 375.0 225.0 372.0
0 2 1 12 131.0 424.0 281.0 418.0
0 2 1 13 157.0 495.0 327.0 495.0
0 2 1 14 176.0 551.0 370.0 521.0
0 2 1 15 201.0 622.0 419.0 585.0
0 2 1 16 234.0 654.0 469.0 636.0
0 2 1 17 294.0 703.0 519.0 703.0
0 2 1 18 342.0 767.0 582.0 756.0
0 2 1 19 410.0 820.0 635.0 819.0
0 2 1 20 470.0 885.0 689.0 873.0
0 2 1 21 575.0 942.0 -1  -1 
0 2 1 22 630.0 1004.0 -1  -1 
0 2 1 23 680.0 1057.0 -1  -1 
0 2 1 24 742.0 970.0 -1  -1 
0 2 2 1 2.0 27.0 -1  -1 
0 2 2 2 4.0 46.0 -1  -1 
0 2 2 3 8.0 60.0 22.0 54.0
0 2 2 4 14.0 83.0 33.0 83.0
0 2 2 5 22.0 117.0 56.0 117.0
0 2 2 6 29.0 152.0 80.0 152.0
0 2 2 7 44.0 192.0 102.0 192.0
0 2 2 8 62.0 232.0 141.0 232.0
0 2 2 9 81.0 305.0 172.0 278.0
0 2 2 10 92.0 324.0 208.0 324.0
0 2 2 11 117.0 373.0 254.0 366.0
0 2 2 12 137.0 418.0 290.0 418.0
0 2 2 13 181.0 475.0 344.0 475.0
0 2 2 14 199.0 558.0 384.0 528.0
0 2 2 15 238.0 601.0 427.0 578.0
0 2 2 16 279.0 667.0 492.0 640.0
0 2 2 17 339.0 702.0 549.0 702.0
0 2 2 18 407.0 785.0 618.0 760.0
0 2 2 19 482.0 828.0 652.0 818.0
0 2 2 20 532.0 888.0 -1  -1 
0 2 2 21 584.0 945.0 -1  -1 
0 2 2 22 650.0 1004.0 -1  -1 
0 2 2 23 705.0 1031.0 -1  -1 
0 2 2 24 833.0 1021.0 -1  -1 
0 2 3 1 2.0 24.0 -1  -1 
0 2 3 2 4.0 46.0 -1  -1 
0 2 3 3 8.0 56.0 20.0 56.0
0 2 3 4 12.0 84.0 37.0 84.0
0 2 3 5 21.0 118.0 55.0 118.0
0 2 3 6 29.0 153.0 83.0 153.0
0 2 3 7 38.0 195.0 108.0 191.0
0 2 3 8 60.0 237.0 147.0 236.0
0 2 3 9 74.0 280.0 181.0 280.0
0 2 3 10 86.0 340.0 218.0 324.0
0 2 3 11 101.0 381.0 246.0 374.0
0 2 3 12 132.0 429.0 294.0 419.0
0 2 3 13 167.0 508.0 340.0 476.0
0 2 3 14 179.0 560.0 384.0 525.0
0 2 3 15 213.0 624.0 431.0 592.0
0 2 3 16 259.0 663.0 491.0 648.0
0 2 3 17 323.0 728.0 538.0 706.0
0 2 3 18 376.0 779.0 602.0 764.0
0 2 3 19 441.0 839.0 667.0 827.0
0 2 3 20 524.0 895.0 763.0 883.0
0 2 3 21 584.0 953.0 -1  -1 
0 2 3 22 627.0 1009.0 -1  -1 
0 2 3 23 675.0 1065.0 -1  -1 
0 2 3 24 720.0 1068.0 -1  -1 
0 2 4 1 2.0 24.0 -1  -1 
0 2 4 2 5.0 43.0 -1  -1 
0 2 4 3 8.0 57.0 23.0 57.0
0 2 4 4 14.0 84.0 32.0 84.0
0 2 4 5 18.0 117.0 50.0 117.0
0 2 4 6 26.0 152.0 75.0 152.0
0 2 4 7 35.0 201.0 97.0 191.0
0 2 4 8 48.0 236.0 125.0 236.0
0 2 4 9 69.0 277.0 160.0 277.0
0 2 4 10 84.0 345.0 197.0 320.0
0 2 4 11 102.0 389.0 230.0 370.0
0 2 4 12 127.0 422.0 273.0 419.0
0 2 4 13 158.0 512.0 325.0 476.0
0 2 4 14 174.0 571.0 366.0 523.0
0 2 4 15 208.0 614.0 407.0 587.0
0 2 4 16 268.0 671.0 465.0 641.0
0 2 4 17 343.0 724.0 525.0 697.0
0 2 4 18 397.0 785.0 591.0 761.0
0 2 4 19 470.0 834.0 650.0 813.0
0 2 4 20 538.0 892.0 713.0 883.0
0 2 4 21 601.0 949.0 -1  -1 
0 2 4 22 655.0 1016.0 -1  -1 
0 2 4 23 700.0 1067.0 -1  -1 
0 2 4 24 733.0 1063.0 -1  -1 
0 3 1 1 2.0 27.0 -1  -1 
0 3 1 2 4.0 47.0 -1  -1 
0 3 1 3 7.0 63.0 22.0 54.0
0 3 1 4 13.0 85.0 34.0 81.0
0 3 1 5 17.0 116.0 52.0 116.0
0 3 1 6 24.0 153.0 76.0 152.0
0 3 1 7 34.0 190.0 107.0 189.0
0 3 1 8 49.0 235.0 135.0 235.0
0 3 1 9 60.0 331.0 163.0 274.0
0 3 1 10 89.0 346.0 213.0 321.0
0 3 1 11 96.0 407.0 243.0 374.0
0 3 1 12 105.0 429.0 278.0 418.0
0 3 1 13 139.0 515.0 325.0 476.0
0 3 1 14 160.0 564.0 359.0 520.0
0 3 1 15 181.0 634.0 417.0 582.0
0 3 1 16 218.0 680.0 472.0 638.0
0 3 1 17 251.0 728.0 523.0 704.0
0 3 1 18 277.0 790.0 589.0 757.0
0 3 1 19 336.0 843.0 640.0 815.0
0 3 1 20 467.0 893.0 703.0 881.0
0 3 1 21 543.0 948.0 -1  -1 
0 3 1 22 594.0 1010.0 -1  -1 
0 3 1 23 630.0 1067.0 -1  -1 
0 3 1 24 676.0 1096.0 -1  -1 
0 3 1 25 706.0 1039.0 -1  -1 
0 3 2 1 2.0 25.0 -1  -1 
0 3 2 2 4.0 47.0 -1  -1 
0 3 2 3 8.0 56.0 22.0 54.0
0 3 2 4 12.0 85.0 36.0 84.0
0 3 2 5 19.0 117.0 58.0 117.0
0 3 2 6 23.0 156.0 81.0 153.0
0 3 2 7 31.0 195.0 106.0 191.0
0 3 2 8 45.0 237.0 141.0 232.0
0 3 2 9 84.0 326.0 175.0 289.0
0 3 2 10 113.0 359.0 205.0 321.0
0 3 2 11 134.0 392.0 252.0 384.0
0 3 2 12 165.0 440.0 290.0 420.0
0 3 2 13 201.0 510.0 332.0 471.0
0 3 2 14 241.0 592.0 375.0 531.0
0 3 2 15 273.0 626.0 416.0 590.0
0 3 2 16 313.0 689.0 472.0 640.0
0 3 2 17 359.0 727.0 536.0 711.0
0 3 2 18 400.0 799.0 596.0 765.0
0 3 2 19 440.0 849.0 657.0 828.0
0 3 2 20 487.0 900.0 731.0 880.0
0 3 2 21 521.0 959.0 -1  -1 
0 3 2 22 569.0 1015.0 -1  -1 
0 3 2 23 619.0 1069.0 -1  -1 
0 3 2 24 647.0 1095.0 -1  -1 
0 3 3 1 2.0 24.0 -1  -1 
