#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi1maxZid ESi1minAid ESi1maxAid
0 1 1 2 7.0 31.0 -1  -1 
0 1 1 3 11.0 55.0 -1  -1 
0 1 1 4 18.0 83.0 18.0 82.0
0 1 1 5 23.0 111.0 55.0 111.0
0 1 1 6 31.0 146.0 71.0 146.0
0 1 1 7 40.0 183.0 92.0 183.0
0 1 1 8 49.0 223.0 114.0 223.0
0 1 1 9 59.0 267.0 159.0 267.0
0 1 1 10 69.0 311.0 196.0 311.0
0 1 1 11 82.0 352.0 237.0 352.0
0 1 1 12 97.0 399.0 275.0 399.0
0 1 1 13 116.0 449.0 311.0 449.0
0 1 1 14 129.0 500.0 344.0 500.0
0 1 1 15 142.0 548.0 386.0 548.0
0 1 1 16 177.0 608.0 -1  -1 
0 1 1 17 204.0 659.0 -1  -1 
0 1 1 18 230.0 717.0 -1  -1 
0 1 1 19 250.0 755.0 -1  -1 
0 1 1 20 291.0 839.0 -1  -1 
0 1 1 21 333.0 566.0 -1  -1 
0 1 1 22 413.0 430.0 -1  -1 
0 1 1 23 387.0 389.0 -1  -1 
0 1 3 2 6.0 49.0 -1  -1 
0 1 3 3 11.0 55.0 27.0 55.0
0 1 3 4 17.0 82.0 17.0 82.0
0 1 3 5 22.0 118.0 51.0 118.0
0 1 3 6 29.0 156.0 71.0 156.0
0 1 3 7 37.0 189.0 95.0 189.0
0 1 3 8 46.0 227.0 127.0 227.0
0 1 3 9 57.0 274.0 169.0 274.0
0 1 3 10 67.0 318.0 209.0 318.0
0 1 3 11 79.0 366.0 244.0 366.0
0 1 3 12 87.0 415.0 294.0 415.0
0 1 3 13 106.0 462.0 335.0 462.0
0 1 3 14 119.0 514.0 385.0 506.0
0 1 3 15 130.0 571.0 433.0 571.0
0 1 3 16 152.0 626.0 498.0 626.0
0 1 3 17 179.0 690.0 577.0 690.0
0 1 3 18 199.0 735.0 -1  -1 
0 1 3 19 229.0 784.0 -1  -1 
0 1 3 20 268.0 843.0 -1  -1 
0 1 3 21 307.0 845.0 -1  -1 
0 1 3 22 338.0 621.0 -1  -1 
0 1 4 2 6.0 35.0 -1  -1 
0 1 4 3 10.0 54.0 28.0 53.0
0 1 4 4 16.0 82.0 17.0 81.0
0 1 4 5 21.0 115.0 45.0 112.0
0 1 4 6 26.0 151.0 67.0 151.0
0 1 4 7 35.0 187.0 90.0 187.0
0 1 4 8 42.0 224.0 114.0 224.0
0 1 4 9 52.0 271.0 150.0 271.0
0 1 4 10 60.0 313.0 187.0 313.0
0 1 4 11 69.0 360.0 221.0 360.0
0 1 4 12 75.0 411.0 264.0 411.0
0 1 4 13 83.0 455.0 318.0 455.0
0 1 4 14 97.0 509.0 362.0 509.0
0 1 4 15 106.0 553.0 419.0 553.0
0 1 4 16 118.0 612.0 520.0 612.0
0 1 4 17 140.0 676.0 -1  -1 
0 1 4 18 168.0 717.0 -1  -1 
0 1 4 19 194.0 780.0 -1  -1 
0 1 4 20 246.0 829.0 -1  -1 
0 1 4 21 271.0 870.0 -1  -1 
0 1 4 22 283.0 635.0 -1  -1 
0 1 4 23 352.0 432.0 -1  -1 
0 2 1 2 7.0 36.0 -1  -1 
0 2 1 3 13.0 57.0 -1  -1 
0 2 1 4 23.0 90.0 23.0 86.0
0 2 1 5 32.0 121.0 57.0 119.0
0 2 1 6 40.0 156.0 75.0 156.0
0 2 1 7 52.0 195.0 106.0 195.0
0 2 1 8 63.0 237.0 134.0 237.0
0 2 1 9 72.0 285.0 171.0 285.0
0 2 1 10 84.0 329.0 203.0 329.0
0 2 1 11 100.0 372.0 262.0 372.0
0 2 1 12 114.0 421.0 314.0 421.0
0 2 1 13 130.0 471.0 398.0 468.0
0 2 1 14 152.0 525.0 468.0 525.0
0 2 1 15 169.0 581.0 -1  -1 
0 2 1 16 186.0 625.0 -1  -1 
0 2 1 17 202.0 672.0 -1  -1 
0 2 1 18 242.0 743.0 -1  -1 
0 2 1 19 311.0 785.0 -1  -1 
0 2 1 20 383.0 859.0 -1  -1 
0 2 1 21 396.0 498.0 -1  -1 
0 2 2 2 5.0 38.0 -1  -1 
0 2 2 3 12.0 60.0 24.0 54.0
0 2 2 4 17.0 87.0 17.0 84.0
0 2 2 5 25.0 118.0 42.0 118.0
0 2 2 6 33.0 156.0 70.0 156.0
0 2 2 7 44.0 195.0 95.0 195.0
0 2 2 8 55.0 233.0 123.0 233.0
0 2 2 9 68.0 277.0 173.0 277.0
0 2 2 10 79.0 320.0 209.0 317.0
0 2 2 11 90.0 367.0 247.0 367.0
0 2 2 12 103.0 420.0 287.0 417.0
0 2 2 13 125.0 465.0 345.0 465.0
0 2 2 14 145.0 515.0 414.0 515.0
0 2 2 15 166.0 571.0 462.0 571.0
0 2 2 16 209.0 627.0 517.0 623.0
0 2 2 17 222.0 696.0 -1  -1 
0 2 2 18 255.0 741.0 -1  -1 
0 2 2 19 278.0 803.0 -1  -1 
0 2 2 20 315.0 846.0 -1  -1 
0 2 2 21 354.0 791.0 -1  -1 
0 2 2 22 439.0 441.0 -1  -1 
0 2 3 2 5.0 30.0 -1  -1 
0 2 3 3 9.0 53.0 21.0 53.0
0 2 3 4 15.0 80.0 15.0 80.0
0 2 3 5 21.0 112.0 45.0 112.0
0 2 3 6 29.0 150.0 62.0 150.0
0 2 3 7 35.0 185.0 83.0 185.0
0 2 3 8 42.0 225.0 111.0 225.0
0 2 3 9 53.0 273.0 145.0 271.0
0 2 3 10 64.0 318.0 178.0 318.0
0 2 3 11 77.0 364.0 211.0 364.0
0 2 3 12 90.0 406.0 266.0 406.0
0 2 3 13 98.0 455.0 302.0 455.0
0 2 3 14 110.0 507.0 351.0 507.0
0 2 3 15 128.0 560.0 414.0 560.0
0 2 3 16 145.0 621.0 498.0 621.0
0 2 3 17 174.0 673.0 566.0 673.0
0 2 3 18 184.0 722.0 -1  -1 
0 2 3 19 202.0 787.0 -1  -1 
0 2 3 20 248.0 792.0 -1  -1 
0 2 3 21 283.0 863.0 -1  -1 
